Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577170281,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,1.296844482421875,63.521114349365234,0,0,0.0683135986328125,0.0507659912109375,0.05263519287109375,0.02762603759765625,0,0,98.31268310546875,99.13842010498047,85.41442108154297,100,0,0,0,86123.16418457031,56798.93768310547,387.3863525390625,16802746368,2818572288,7111131136,0
177,1740577170303,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,27.10546875,51.55400085449219,0,0,0,0,0,0,0,0,82.61695861816406,77.92631530761719,75.2391357421875,82.98228454589844,0,0,0,86123.56072998047,56799.15380859375,387.39031982421875,16802746368,2818572288,7114543104,0
199,1740577170482,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.595527648925781,1.5379409790039063,0.0989227294921875,0.03759765625,0.1365814208984375,0.08745574951171875,0.0862274169921875,0.1646728515625,0.081298828125,0.027587890625,45.24017333984375,49.133419036865234,34.91210174560547,1.7789306640625,0.11840057373046875,0.03485870361328125,0,86125.14727783203,56799.90185546875,387.39031982421875,16802746368,2818572288,7116972032,0
199,1740577170682,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.995597839355469,10.624351501464844,0.56915283203125,0.494659423828125,0.9417800903320313,0.8938446044921875,0.9060821533203125,0.8963470458984375,0.6337127685546875,0.48956298828125,60.621707916259766,60.5479621887207,68.81732177734375,31.92888641357422,0.6844406127929688,0.48981475830078125,0,86127.28405761719,56800.89245605469,387.4295654296875,16802746368,2818572288,7128166400,0
199,1740577170882,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,9.827827453613281,30.309646606445313,0.4945220947265625,0.386016845703125,0.6328048706054688,0.6126480102539063,0.633697509765625,2.5591506958007813,0.42627716064453125,0.3411712646484375,65.468505859375,60.788108825683594,70.7108154296875,58.53810119628906,0.41559600830078125,0.32311248779296875,0,86129.615234375,56802.063415527344,387.4295654296875,16802746368,2818572288,7132561408,0
201,1740577171083,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.433319091796875,5.402519226074219,0.7637176513671875,0.7434005737304688,0.8159332275390625,0.8114852905273438,0.8213729858398438,0.8262176513671875,0.7811355590820313,0.7513351440429688,41.21352005004883,70.61093139648438,41.398719787597656,34.362388610839844,0.76666259765625,0.7445449829101563,0,86131.49896240234,56802.779357910156,387.4295654296875,16802746368,2818572288,7134412800,0
199,1740577171286,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.343620300292969,34.51515197753906,0.91778564453125,0.8189620971679688,0.9034042358398438,0.8889236450195313,0.8976211547851563,0.93994140625,0.8749313354492188,0.807830810546875,46.756107330322266,50.247825622558594,42.15088653564453,46.107547760009766,0.9250259399414063,0.821197509765625,0,86133.52667236328,56803.613525390625,387.4295654296875,16802746368,2818572288,7138680832,0
199,1740577171486,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.141204833984375,0,0.06526947021484375,0,0.04955291748046875,0.02394866943359375,0.04645538330078125,0.0278472900390625,0.05030059814453125,0,24.224571228027344,21.58867645263672,16.470169067382813,5.8747711181640625,0,0,0,86134.89129638672,56803.931213378906,387.4295654296875,16802746368,2818572288,7137783808,0
198,1740577171687,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.367332458496094,0.1730499267578125,0.5417938232421875,0.42181396484375,0.506500244140625,0.5063018798828125,0.47100067138671875,0.5100326538085938,0.42401123046875,0.2471771240234375,41.40394973754883,38.424991607666016,44.41695785522461,0.22308349609375,0.44635772705078125,0.342315673828125,0,86136.49615478516,56804.437927246094,387.4295654296875,16802746368,2818572288,7136428032,0
199,1740577171886,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.142814636230469,0,0.0438995361328125,0,0.04218292236328125,0.0537109375,0.0403594970703125,0.212371826171875,0,0,40.870765686035156,38.6285285949707,39.22321701049805,8.583305358886719,0.04410552978515625,0,0,86138.0082397461,56804.885681152344,387.43402099609375,16802746368,2818572288,7134363648,0
199,1740577172087,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.778678894042969,0.46839141845703125,0.5252914428710938,0.44785308837890625,0.5192413330078125,0.4813385009765625,0.4720611572265625,0.5533676147460938,0.5719757080078125,0.48520660400390625,10.945068359375,30.06037139892578,4.03173828125,0.8011550903320313,0.5156707763671875,0.434112548828125,0,86139.23583984375,56805.11865234375,387.47552490234375,16802746368,2818572288,7132815360,0
200,1740577172287,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.464324951171875,6.313751220703125,0.5285491943359375,0.44838714599609375,0.6823883056640625,0.6150894165039063,0.6146926879882813,0.614990234375,0.4824676513671875,0.37577056884765625,50.36906051635742,53.66730880737305,50.50022888183594,22.162017822265625,0.5746841430664063,0.4732208251953125,0,86140.81372070313,56805.66961669922,387.52081298828125,16802746368,2818572288,7135969280,0
199,1740577172488,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,19.27911376953125,8.407180786132813,0.35062408447265625,0.26384735107421875,0.3073883056640625,0.2886505126953125,0.30922698974609375,0.372344970703125,0.3220977783203125,0.28353118896484375,21.300209045410156,24.141632080078125,37.94777297973633,11.423934936523438,0.35906982421875,0.2725982666015625,0,86142.1948852539,56806.108154296875,387.52508544921875,16802746368,2818572288,7143542784,0
198,1740577172690,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.665580749511719,0,0,0,0,0,0,0.0078125,0,0,57.63480758666992,54.197757720947266,44.160484313964844,18.502586364746094,0,0,0,86143.95666503906,56806.78338623047,387.5654296875,16802746368,2818572288,7142883328,0
198,1740577172890,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,19.227073669433594,24.493438720703125,0,0,0.18128204345703125,0.1742095947265625,0.1433258056640625,3.4096832275390625,0.125762939453125,0,71.5086669921875,68.12480163574219,61.25812911987305,58.50271987915039,0,0,0,86145.88568115234,56807.58563232422,387.5654296875,16802746368,2818572288,7143415808,0
201,1740577173089,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.267448425292969,4.177818298339844,1.96258544921875,1.9099273681640625,2.0026016235351563,1.9848785400390625,1.9891586303710938,1.981658935546875,1.5330886840820313,1.4772109985351563,53.73976516723633,60.212554931640625,39.53952407836914,12.532089233398438,1.955535888671875,1.9067535400390625,0,86147.50970458984,56808.173828125,387.5697021484375,16802746368,2818572288,7143895040,0
199,1740577173291,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.2601776123046875,0,0,0,0,0,0,0,0,0,22.292213439941406,55.77760314941406,8.58892822265625,0,0,0,0,86148.84002685547,56808.50030517578,387.61181640625,16802746368,2818572288,7143051264,0
199,1740577173492,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.560142517089844,0.12456512451171875,0.19243621826171875,0.14676666259765625,0.284332275390625,0.2729034423828125,0.2724456787109375,0.37122344970703125,0.19966888427734375,0.14322662353515625,39.774749755859375,63.1449089050293,56.26814270019531,41.174015045166016,0.19339752197265625,0.14722442626953125,0,86150.75622558594,56809.46875,387.61590576171875,16802746368,2818572288,7144472576,0
194,1740577173697,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.4766082763671875,0.29462432861328125,0.34969329833984375,0.21329498291015625,0.30377197265625,0.2813262939453125,0.27496337890625,0.28363800048828125,0.5440292358398438,0.303253173828125,27.268592834472656,29.84052276611328,14.118995666503906,0.24643707275390625,0.3505401611328125,0.22324371337890625,0,86152.1441040039,56809.904357910156,387.63470458984375,16802746368,2818572288,7144509440,0
198,1740577173894,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.773155212402344,0,0,0,0,0,0,0,0,0,36.826744079589844,38.999271392822266,27.074600219726563,10.989166259765625,0,0,0,86153.7593383789,56810.477294921875,387.66217041015625,16802746368,2818572288,7142948864,0
199,1740577174093,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.7724761962890625,0.03720855712890625,0.048614501953125,0.0283966064453125,0.06241607666015625,0.05164337158203125,0.05126953125,0.0503692626953125,0.06464385986328125,0.0447998046875,66.987548828125,61.010414123535156,56.205894470214844,12.622550964355469,0.05461883544921875,0.02802276611328125,0,86155.52526855469,56811.19708251953,387.7037353515625,16802746368,2818572288,7144681472,0
201,1740577174293,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.6703948974609375,0,0,0,0,0,0,0,0,0,9.291587829589844,17.06390380859375,5.4202117919921875,0,0,0,0,86156.7651977539,56811.40936279297,387.7037353515625,16802746368,2818572288,7148683264,0
148,1740577174547,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.8311920166015625,0,0,0,0,0,0,0,0,0,22.02667999267578,41.61732482910156,2.9516754150390625,0,0,0,0,86158.37615966797,56811.79382324219,387.7496337890625,16802746368,2818572288,7143759872,0
199,1740577174696,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.303627014160156,0.8090667724609375,0.16219329833984375,0.05303955078125,0.17896270751953125,0.15216827392578125,0.14715576171875,0.14687347412109375,0.09035491943359375,0,72.170166015625,69.8311538696289,74.53543090820313,43.45435333251953,0.15341949462890625,0.04601287841796875,0,86160.0698852539,56812.69403076172,387.7496337890625,16802746368,2818572288,7144136704,0
199,1740577174897,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.660011291503906,5.456809997558594,0.1359100341796875,0,0.1180419921875,0.11908721923828125,0.1197357177734375,0.7170333862304688,0.028900146484375,0,30.27240753173828,23.548492431640625,22.574508666992188,8.233848571777344,0.09173583984375,0,0,86161.62573242188,56813.12127685547,387.7496337890625,16802746368,2818572288,7147954176,0
199,1740577175097,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,9.288864135742188,0,0,0,0,0,0,0,0,0,14.301055908203125,23.109115600585938,2.2733688354492188,0,0,0,0,86162.85095214844,56813.38751220703,387.75408935546875,16802746368,2818572288,7144853504,0
200,1740577175297,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,5.5916595458984375,0,0,0,0,0,0,0,0,0,68.4454116821289,62.032814025878906,42.78077697753906,24.2596435546875,0,0,0,86164.79357910156,56814.156311035156,387.79705810546875,16802746368,2818572288,7142760448,0
220,1740577175499,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.644721984863281,0.3719635009765625,0.45479583740234375,0.38649749755859375,0.43106842041015625,0.40113067626953125,0.39975738525390625,0.5246810913085938,0.45627593994140625,0.38141632080078125,25.525375366210938,32.15724182128906,14.30755615234375,12.311546325683594,0.45586395263671875,0.384002685546875,0,86166.15588378906,56814.497009277344,387.79705810546875,16802746368,2818572288,7144308736,0
198,1740577175721,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,7.5539398193359375,0,0.02703857421875,0,0.02618408203125,0,0,0.02852630615234375,0.10839080810546875,0,9.943206787109375,38.377288818359375,0.0045013427734375,0,0.02317047119140625,0,0,86167.5033569336,56814.716857910156,387.83526611328125,16802746368,2818572288,7143235584,0
199,1740577175921,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,6.91339111328125,0,0.11443328857421875,0,0.05919647216796875,0.05216217041015625,0.05820465087890625,3.0247650146484375,0.00148773193359375,0,62.815696716308594,66.60469055175781,48.430423736572266,0.0918426513671875,0.10274505615234375,0,0,86169.4107055664,56815.51867675781,387.8438720703125,16802746368,2818572288,7141330944,0
