Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740577640301,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,10.191017150878906,4.636741638183594,5.482337951660156,5.3419952392578125,5.233924865722656,5.19427490234375,5.1918182373046875,5.169364929199219,4.824462890625,4.661308288574219,93.02716064453125,97.49092864990234,88.05989837646484,100,5.510063171386719,5.3465576171875,0,89251.83093261719,57604.43280029297,446.6676025390625,16802746368,2818572288,6975729664,0
177,1740577640324,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,0,0,0,0,0,0,0,0,0,0,71.55073547363281,64.58578491210938,46.641075134277344,96.80474853515625,0,0,0,89252.22918701172,57604.656005859375,446.6676025390625,16802746368,2818572288,6982340608,0
200,1740577640502,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,19.27074432373047,1.4653091430664063,1.6172637939453125,1.5564956665039063,1.6191864013671875,1.6070175170898438,1.5950698852539063,1.6644439697265625,1.6055908203125,1.52679443359375,77.29718017578125,45.45693588256836,56.85111999511719,59.928104400634766,1.6103591918945313,1.5491485595703125,0,89254.00598144531,57605.36901855469,446.71038818359375,16802746368,2818572288,6992650240,0
201,1740577640703,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,8.746025085449219,0.37841033935546875,0.4713134765625,0.409942626953125,0.5628280639648438,0.515899658203125,0.517242431640625,0.5371551513671875,0.4625244140625,0.41336822509765625,23.60979461669922,19.128036499023438,40.35966110229492,7.748779296875,0.47672271728515625,0.4335784912109375,0,89255.4384765625,57605.72644042969,446.71038818359375,16802746368,2818572288,6992818176,0
199,1740577640906,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,7.534065246582031,0.9242630004882813,0.9219970703125,0.8659286499023438,0.9379501342773438,0.91162109375,0.9179916381835938,0.9859085083007813,1.0223159790039063,0.9427871704101563,45.98649215698242,56.123435974121094,30.733383178710938,0.8176727294921875,0.9111785888671875,0.8570404052734375,0,89256.92657470703,57606.11639404297,446.71038818359375,16802746368,2818572288,6990843904,0
200,1740577641106,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,5.7224884033203125,0,0,0,0,0,0,0,0,0,49.676326751708984,57.920936584472656,44.26942443847656,0,0,0,0,89258.50756835938,57606.67639160156,446.71038818359375,16802746368,2818572288,6993727488,0
200,1740577641307,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,8.056007385253906,1.5726318359375,1.6630783081054688,1.600921630859375,1.6227035522460938,1.6167831420898438,1.6062088012695313,1.6155548095703125,1.67120361328125,1.605133056640625,28.66107940673828,32.11174774169922,22.948020935058594,1.6038131713867188,1.658721923828125,1.6126174926757813,0,89259.98364257813,57606.972412109375,446.71038818359375,16802746368,2818572288,6992990208,0
199,1740577641508,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,7.5892181396484375,0.03206634521484375,0.163482666015625,0.10495758056640625,0.234283447265625,0.201019287109375,0.2046051025390625,0.2991180419921875,0.1573638916015625,0.05852508544921875,27.90802001953125,16.28662109375,11.035140991210938,0.065582275390625,0.19052886962890625,0.10550689697265625,0,89261.24810791016,57607.197204589844,446.71038818359375,16802746368,2818572288,6991724544,0
199,1740577641708,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,8.238105773925781,0.5253753662109375,0.5746078491210938,0.519195556640625,0.5905685424804688,0.5758590698242188,0.5669784545898438,0.7370681762695313,0.6430435180664063,0.5418853759765625,18.092994689941406,13.884437561035156,0.590423583984375,0.55914306640625,0.5699234008789063,0.5192947387695313,0,89262.24835205078,57607.32434082031,446.71490478515625,16802746368,2818572288,6991167488,0
198,1740577641910,1520,1520,1520,1520,1466,1466,1466,1466,1520,1520,2400,1520,2400,2400,1520,1520,7.52447509765625,0.2975006103515625,0.3655242919921875,0.29695892333984375,0.43503570556640625,0.4184722900390625,0.41501617431640625,0.5074462890625,0.3688812255859375,0.317413330078125,17.119110107421875,22.795143127441406,0.34812164306640625,0.28334808349609375,0.34639739990234375,0.27911376953125,0,89263.38360595703,57607.505310058594,446.75555419921875,16802746368,2818572288,6992666624,0
